lesson_id,record_id,record_type,chinese_simplified,pinyin,vietnamese,teacher_review_status,generated_at
lesson-12,T001,text,(dialogue),,,pending,2026-06-04T10:00:00+00:00
lesson-12,V001,vocabulary,语言,yǔyán,ngôn ngữ,pending,2026-06-04T10:00:00+00:00
lesson-12,V002,vocabulary,大学,dàxué,đại học,pending,2026-06-04T10:00:00+00:00
lesson-12,V003,vocabulary,怎么样,zěnmeyàng,thế nào,pending,2026-06-04T10:00:00+00:00
lesson-12,V004,vocabulary,觉得,juéde,cảm thấy,pending,2026-06-04T10:00:00+00:00
lesson-12,V005,vocabulary,语法,yǔfǎ,ngữ pháp,pending,2026-06-04T10:00:00+00:00
lesson-12,V006,vocabulary,难,nán,khó,pending,2026-06-04T10:00:00+00:00
lesson-12,V007,vocabulary,听,tīng,nghe,pending,2026-06-04T10:00:00+00:00
lesson-12,V008,vocabulary,说,shuō,nói,pending,2026-06-04T10:00:00+00:00
lesson-12,V009,vocabulary,比较,bǐjiào,tương đối,pending,2026-06-04T10:00:00+00:00
lesson-12,V010,vocabulary,容易,róngyì,dễ,pending,2026-06-04T10:00:00+00:00
lesson-12,V011,vocabulary,但是,dànshì,nhưng,pending,2026-06-04T10:00:00+00:00
lesson-12,V012,vocabulary,读,dú,đọc,pending,2026-06-04T10:00:00+00:00
lesson-12,V013,vocabulary,写,xiě,viết,pending,2026-06-04T10:00:00+00:00
lesson-12,V014,vocabulary,和,hé,và,pending,2026-06-04T10:00:00+00:00
lesson-12,V015,vocabulary,谁,shéi,ai,pending,2026-06-04T10:00:00+00:00
lesson-12,G001,grammar,在+place+V,,Giới từ 在,pending,2026-06-04T10:00:00+00:00
lesson-12,G002,grammar,的 sở hữu,,的 possessive,pending,2026-06-04T10:00:00+00:00
lesson-12,G003,grammar,Adj predicate,,Câu vị ngữ tính từ,pending,2026-06-04T10:00:00+00:00
