module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第四课 · 你去哪儿
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 14 từ vựng mới, 2 hội thoại, phát âm z/c/s + er, ngữ pháp 正反问句"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: ôn lại các ngày trong tuần, hỏi hôm nay thứ mấy, dẫn vào chủ đề đi đâu"
4,vocabulary,Từ vựng,生词,29,extracted,,14 từ vựng chính + tên riêng 天安门. Counter format: XX/14.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-07/14 và 08-14/14
7,grammar,Ngữ pháp,语法,28,extracted,,Ngữ pháp: 正反问句 (câu hỏi chính phản: 去不去?)
8,comprehensive_practice_divider,Luyện tập tổng hợp,综合练习,,planned,,Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent)
9,vocabulary_practice,Luyện từ vựng tổng hợp,综合词汇练习,,planned,,Flashcard + ghép nối từ vựng + luyện ngày trong tuần + luyện 正反问句
10,text,Bài đọc,课文,28,extracted,,2 hội thoại: (一) 星期几 và (二) 对不起
11,stroke_writing,Tập viết chữ Hán,写汉字,36,extracted,,Tập viết chữ Hán từ bài 4: 今、天、星、期、几、二、三、四、回、学、校 (tùy theo nội dung trang 36)
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,33,planned,,"Bài tập: luyện phát âm z/c/s, er + vần cuốn lưỡi, nhận mặt chữ, tập viết, hoàn thành hội thoại"
