lesson_id,record_id,record_type,chinese_simplified,pinyin,vietnamese,teacher_review_status,generated_at
lesson-15,T001,text,(dialogue),,,pending,2026-06-04T10:00:00+00:00
lesson-15,V001,vocabulary,公司,gōngsī,công ty,pending,2026-06-04T10:00:00+00:00
lesson-15,V002,vocabulary,经理,jīnglǐ,giám đốc,pending,2026-06-04T10:00:00+00:00
lesson-15,V003,vocabulary,千,qiān,nghìn,pending,2026-06-04T10:00:00+00:00
lesson-15,V004,vocabulary,万,wàn,vạn,pending,2026-06-04T10:00:00+00:00
lesson-15,V005,vocabulary,多,duō,nhiều,pending,2026-06-04T10:00:00+00:00
lesson-15,V006,vocabulary,少,shǎo,ít,pending,2026-06-04T10:00:00+00:00
lesson-15,V007,vocabulary,有,yǒu,có,pending,2026-06-04T10:00:00+00:00
lesson-15,V008,vocabulary,没,méi,không,pending,2026-06-04T10:00:00+00:00
lesson-15,V009,vocabulary,男,nán,nam,pending,2026-06-04T10:00:00+00:00
lesson-15,V010,vocabulary,外国,wàiguó,nước ngoài,pending,2026-06-04T10:00:00+00:00
lesson-15,V011,vocabulary,层,céng,tầng,pending,2026-06-04T10:00:00+00:00
lesson-15,V012,vocabulary,教室,jiàoshì,phòng học,pending,2026-06-04T10:00:00+00:00
lesson-15,V013,vocabulary,宿舍,sùshè,ký túc xá,pending,2026-06-04T10:00:00+00:00
lesson-15,G001,grammar,有字句,,Câu 有: sở hữu/tồn tại,pending,2026-06-04T10:00:00+00:00
lesson-15,G002,grammar,没有否定,,Phủ định 有 = 没有,pending,2026-06-04T10:00:00+00:00
lesson-15,G003,grammar,大数字,,Số lớn: 百千万,pending,2026-06-04T10:00:00+00:00
