lesson_id,lesson_number,lesson_title,source_file,item_type,field,status,value,detail
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,source_qa,status,passed,,four_lane_multi_agent_source_fidelity_review
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,sections,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,vocabulary,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,texts_dialogues,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,grammar_patterns,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,exercises,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,verified_category,audio_mapping,verified,,
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,correction_applied,,applied,,补全教材原生 section 层级
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,correction_applied,,applied,,T01-002 补回‘过年的时候’中的‘的’
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,correction_applied,,applied,,T01-005 姓氏‘华’读音修正为 huà
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,correction_applied,,applied,,E01-003 归回词语理解
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,correction_applied,,applied,,E01-023 与音频 2-4 归回语句理解
boya-intermediate-i-lesson-01,1,中国人的姓名,work/boya-intermediate/extractions/structured-lesson-01.json,answer_policy,answer_policy,recorded,,只记录教材明确印出的答案；本课扫描页未提供练习答案，不自行补写。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,source_qa,status,pending,,PDF页图像、OCR页面、来源索引和文件级音频检查
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,lesson_boundary,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,page_mapping,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,section_hierarchy_first_pass,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,vocabulary_first_pass,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,printed_exercise_inventory,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,audio_file_inventory,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,verified_category,audio_decode,verified,,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,correction_applied,,applied,,将第二课 canonical source 从不完整的 lesson-02.json 分离为本课 source-review 结构化快照。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,correction_applied,,applied,,以页面图像确认教材印刷页17–31与PDF页28–42的对应关系。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,correction_applied,,applied,,保留OCR与页面图像的差异，不把OCR缺字、错字或丢失声调写成最终教材文字。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,correction_applied,,applied,,把教材未提供答案的题目标记为 not_provided_in_source 或 open。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,unresolved_item,,unresolved,,逐页完成结构化记录的文字忠实度复核，特别是阅读短文、拼音、标点和填空线。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,unresolved_item,,unresolved,,逐一听核12段音频，将实际内容与教材区段建立内容级对应。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,unresolved_item,,unresolved,,确认开放题、听力题和句式练习的答案状态；不生成教材未提供的唯一答案。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,unresolved_item,,unresolved,,等待Adam对来源内容的更正或批准。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,pdf_pages,recorded,148,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,review_pdf_pages,recorded,15,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,ocr_pages_present,recorded,15,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,page_images_present,recorded,15,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,audio_files_present,recorded,12,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,audio_decode_pass,recorded,12/12,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,audio_total_duration_seconds,recorded,1032.674,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,file_check,qr_payload_decoded,recorded,True,
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,answer_policy,answer_policy,recorded,,只记录教材明确印出的题干、示例和答案状态。扫描页未提供完整答案的题目不自行补写唯一答案。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,uncertainty,audio_content,pending_review,,文件存在且12/12可解码，尚未完成内容级听核。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,uncertainty,full_text_fidelity,pending_review,,OCR已保存；页面图像为最终依据，部分逐字稿仍需人工校正。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,uncertainty,answers,not_provided_in_source,,扫描教材未提供完整答案，不生成标准答案。
boya-intermediate-i-lesson-02,2,真正的朋友,work/boya-intermediate/extractions/structured-lesson-02.json,uncertainty,translation,not_started,,来源批准前不进行越南文翻译。
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,source_qa,status,pending,,现行PDF页面图像、项目现有OCR、教材资料索引和文件级音频检查；页面图像优先于OCR。
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,lesson_boundary,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,page_mapping,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,page_inventory,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,section_hierarchy_first_pass,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,vocabulary_inventory_first_pass,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,printed_exercise_inventory,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,printed_text_inventory,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,audio_file_inventory,verified,,
boya-intermediate-i-lesson-03,3,宜居之地,work/boya-intermediate/extractions/structured-lesson-03.json,verified_category,audio_decode,verified,,
