textbook_id,volume,lesson_id,lesson_number,lesson_title,item_order,word_raw_ocr,word,pinyin_raw_ocr,pinyin,part_of_speech_raw,part_of_speech,meaning_en_source,meaning_vi,meaning_vi_status,repeated_mark,source_section,source_pdf_page,source_printed_page,source_status,source_notes,vocabulary_key
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,1,你*,你,ni,ni,代,代,yOu jido to call,bạn; anh/chị,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:你:ni
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,2,什么*,什么,shenme,shenme,代,代,what,cái gì; gì,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:什么:shenme
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,3,名字*,名字,mingzi,mingzi,名,名,name,tên,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:名字:mingzi
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,4,他*,他,ta,ta,代,代,he; him,anh ấy; ông ấy,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:他:ta
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,5,6.学*,学,xue,xue,动,动,to leamn; to study,học,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:学:xue
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,6,7.姓*,姓,xing,xing,动,动,to be surnamed,mang họ; họ,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:姓:xing
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,7,8. 好*,好,nao,hdo,形,形,well; good,tốt; khỏe; được,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:好:hdo
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,8,9.我*,我,WO,wO,代,代,L;me,tôi; mình,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:我:wo
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,9,10. 是*,是,shi,shi,动,动,am; is; are,là; phải,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:是:shi
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,10,11.不＊,不,bu,bu,,,no; not,không,translated_subagent_draft,,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:不:bu
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,11,老师*,老师,ldoshi,laoshi,名,名,teacher,giáo viên,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:老师:laoshi
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,12,学生*,学生,xuesheng,xuesheng,名,名,student,học sinh; sinh viên,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:学生:xuesheng
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,13,留学生*,留学生,liuxuesheng,liuxuesheng,名,名,foreign student used at the end of a declarative,du học sinh,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:留学生:liuxuesheng
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,14,15. 吗*,吗,ma,ma,助,助,sentence to transform it into a question,trợ từ đặt cuối câu hỏi,translated_subagent_draft,*,lesson_vocab,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:吗:ma
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,15,中国*,中国,Zhongguo,Zhongguo,,,China,Trung Quốc,translated_subagent_draft,*,proper_noun,27,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:中国:zhongguo
boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,16,汉语*,汉语,Hanyu,Hanyu,,,Chinese language,tiếng Hán; tiếng Trung,translated_subagent_draft,*,lesson_vocab,28,4,appendix_matched_ocr_occurrence_needs_translation_review,词语页 OCR 配对；需用词语总表与原页人工核对。,boya-elementary-i:汉语:hanyu
