slide_no,deck,source_refs,source_pages,qa_role
5,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
6,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
7,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
8,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
9,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
10,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary-practice
11,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
12,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
13,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
14,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
15,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
16,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary-practice
17,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
18,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
19,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
20,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
21,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
22,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary-practice
23,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
24,online,00-source/canonical-source.json#sections.vocabulary,77,vocabulary
25,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
26,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
27,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
28,online,00-source/canonical-source.json#sections.vocabulary,77-78,vocabulary-practice
29,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
30,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
31,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
32,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
33,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
34,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary-practice
35,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
36,online,00-source/canonical-source.json#sections.vocabulary,78,vocabulary
39,online,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-summary
40,online,00-source/canonical-source.json#sections.short_text_1,81,short-text-1-record
42,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
43,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
44,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
45,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
46,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
48,online,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-summary
49,online,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-record
51,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
52,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
53,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
54,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
55,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
56,online,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
58,online,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-summary
59,online,00-source/canonical-source.json#sections.short_text_3,84,short-text-3-record
61,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
62,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
63,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
64,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
65,online,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
66,online,00-source/canonical-source.json#sections.comprehensive_practice,86,personal-preparation
68,online,00-source/canonical-source.json#sections.comprehensive_practice,85,comprehensive-table
69,online,00-source/canonical-source.json#sections.comprehensive_practice,86,personal-preparation
