slide_no,deck,source_refs,source_pages,qa_role
6,face-to-face,00-source/canonical-source.json#sections.vocabulary,77-78,foundation-listening
7,face-to-face,00-source/canonical-source.json#sections.vocabulary_comprehension,78-79,foundation-listening
8,face-to-face,00-source/canonical-source.json#sections.listening_sentences,79,foundation-listening
15,face-to-face,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-listening
16,face-to-face,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-second-listen
17,face-to-face,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-first-listen
19,face-to-face,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-speaking
20,face-to-face,00-source/canonical-source.json#sections.short_text_1,80-81,short-text-1-compare
22,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
23,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
24,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
25,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
26,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_1,81,expression
28,face-to-face,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-listening
29,face-to-face,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-second-listen
30,face-to-face,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-first-listen
32,face-to-face,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-speaking
33,face-to-face,00-source/canonical-source.json#sections.short_text_2,82,short-text-2-compare
35,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
36,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
37,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
38,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
39,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
40,face-to-face,00-source/canonical-source.json#sections.common_expressions_views_suggestions,83,expression
42,face-to-face,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-listening
43,face-to-face,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-second-listen
44,face-to-face,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-first-listen
46,face-to-face,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-speaking
47,face-to-face,00-source/canonical-source.json#sections.short_text_3,83-84,short-text-3-compare
49,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
50,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
51,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
52,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
53,face-to-face,00-source/canonical-source.json#sections.common_expressions_habits_preferences_2,84,expression
55,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,85,comprehensive-introduction
56,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,85,comprehensive-questions
57,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,86,personal-output
