record_type,deck,section_id,source_ref,textbook_printed_pages,audio_tracks,status
candidate_source_ref,online+face-to-face,vocabulary,00-source/canonical-source.json#sections.vocabulary,42、43,5-1,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,vocabulary_comprehension,00-source/canonical-source.json#sections.vocabulary_comprehension,43、44,5-2,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,listening_sentences,00-source/canonical-source.json#sections.listening_sentences,44,5-3,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,short_text_1,00-source/canonical-source.json#sections.short_text_1,45,5-4,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,common_expressions_introduce_experience,00-source/canonical-source.json#sections.common_expressions_introduce_experience,46,,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,short_text_2,00-source/canonical-source.json#sections.short_text_2,46、47,5-5,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,common_expressions_introduce_person,00-source/canonical-source.json#sections.common_expressions_introduce_person,47,,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,short_text_3,00-source/canonical-source.json#sections.short_text_3,48,5-6,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,common_expressions_discuss_learning,00-source/canonical-source.json#sections.common_expressions_discuss_learning,49,,candidate_mapping_not_final_storyboard
candidate_source_ref,online+face-to-face,comprehensive_practice,00-source/canonical-source.json#sections.comprehensive_practice,49、50,5-4；5-5；5-6,candidate_mapping_not_final_storyboard
