lesson_key,candidate_page_id,source_section,source_ref,printed_pages,audio,student_action,existing_assets,missing_assets,online_candidate,face_candidate,adam_boundary_status,blocker
boya-quasi-intermediate-i:lesson-04,L04-P01,vocabulary,canonical-source.json#sections.vocabulary,P32-P33,4-1,"看词语、拼音和图片；听后跟读24项词语",l04-vocabulary-coverage,none,"词语预习","课堂任务中调用/短修补",default,"来源与音频语义仍待复核"
boya-quasi-intermediate-i:lesson-04,L04-P02,vocabulary_comprehension,canonical-source.json#sections.vocabulary_comprehension,P33-P34,4-2,"听图片词语并跟读",l04-beijing-street-taxi;l04-language-partner-reading,none,"预习初做＋实体核对","课堂核对与重做",default,"音频语义仍待复核"
boya-quasi-intermediate-i:lesson-04,L04-P03,listening_sentences,canonical-source.json#sections.listening_sentences,P34,4-3,"听句子并判断对错；记录关键词",none,none,"不作为预习必做","听力证据核对",default,"音频语义仍待复核"
boya-quasi-intermediate-i:lesson-04,L04-P04,short_text_1,canonical-source.json#sections.short_text_1,P35,4-4,"听短文、回答问题并介绍对北京的印象",l04-beijing-street-taxi;l04-taxi-conversation,none,"阅读/听力预习","互问、发表、重做",default,"开放产出无唯一答案"
boya-quasi-intermediate-i:lesson-04,L04-P05,common_expressions_experience,canonical-source.json#sections.common_expressions_experience,P36,none,"理解说明情况的常用表达并准备个人句子",l04-beijing-street-taxi,none,"表达预览","任务中使用",default,"部分例句待来源复核"
boya-quasi-intermediate-i:lesson-04,L04-P06,short_text_2,canonical-source.json#sections.short_text_2,P36-P37,4-5,"听学习内容、回答问题并整理学习情况",l04-language-partner-reading;l04-news-subtitles;l04-study-extra-effort,none,"阅读/听力预习","同伴问答、学习情况发表",default,"开放产出无唯一答案"
boya-quasi-intermediate-i:lesson-04,L04-P07,common_expressions_learning,canonical-source.json#sections.common_expressions_learning,P37,none,"理解谈论学习的常用表达并准备个人句子",l04-study-extra-effort,none,"表达预览","任务中使用",default,"来源仍待正式批准"
boya-quasi-intermediate-i:lesson-04,L04-P08,short_text_3,canonical-source.json#sections.short_text_3,P38-P39,4-6,"听并比较在韩国和中国学习汉语的异同",l04-korea-beijing-classes;l04-restaurant-order-serve,none,"阅读/听力预习","听力证据、比较任务与重做",default,"音频语义仍待复核"
boya-quasi-intermediate-i:lesson-04,L04-P09,common_expressions_discuss,canonical-source.json#sections.common_expressions_discuss,P39,none,"理解谈论学习的常用表达并准备比较句子",l04-korea-beijing-classes,none,"表达预览","比较与追问",default,"来源仍待正式批准"
boya-quasi-intermediate-i:lesson-04,L04-P10,comprehensive_practice,canonical-source.json#sections.comprehensive_practice,P40-P41,4-4/4-5/4-6,"根据三段短文填表、总结并联系个人经历发表",l04-korea-beijing-classes,none,"预填关键词","小组总结与个人迁移",default,"正式课时待确认"
