lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_04,P1,,1,lesson_cover,page_l4_01,封面,,,,lesson_page,,第四課課程封面。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P2,,2,learning_objective,page_l4_02,學習目標,,,,lesson_page,,說明本課要學 ai/ao/ou/ei/er、iu/ui/ie/üe、含聲調拼讀、詞彙發音與字義、üe 拼寫變化。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P3,,3,warmup_activity,page_l4_03,暖身活動：複習第三課生詞,,,,lesson_page,,複習第三課生詞；活動可用連連看或聽音猜意 flash card。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P4,,4,pinyin_learning_cover,page_l4_04,拼音學習封面 1：ai ao ou ei er,,,,lesson_page,,進入第一組複韻母學習段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P5,,5,pinyin_chart,pinyin_chart_l4_group_1,拼音學習表格 1：全部聲母 + ai ao ou ei er,,,,lesson_page,,建立 21 聲母與 ai/ao/ou/ei/er 的拼讀組合。,,,pinyin_chart_l4_group_1,,,,,true,true,false,false,false,
pinyin_lesson_04,P6,,6,pinyin_exercise,page_l4_06,拼音練習 1,,,,lesson_page,,第一組複韻母拼讀練習，含聲調。,,,pinyin_chart_l4_group_1,,,,,true,true,false,true,false,
pinyin_lesson_04,P7,,7,vocabulary_set,vocab_set_l4_01,詞彙 1,,,,lesson_page,,開、菜、貓、少、手、口、誰、二。,,vocab_set_l4_01,,,,,,true,true,false,,false,
pinyin_lesson_04,P8,,8,vocab_exercise,page_l4_08,詞彙練習 1,,,,lesson_page,,詞彙 1 的發音與字義練習。,,vocab_set_l4_01,,,,,,true,true,false,,false,
pinyin_lesson_04,P9,,9,pinyin_learning_cover,page_l4_09,拼音學習封面 2：iu ui ie üe,,,,lesson_page,,進入第二組複韻母學習段落。,,,,,,,,true,true,false,,false,封面包含 üe；P10 表格只列 iu/ui/ie，üe 於 P14 規則處理。
pinyin_lesson_04,P10,,10,pinyin_chart,pinyin_chart_l4_group_2,拼音學習表格 2：全部聲母 + iu ui ie,,,,lesson_page,,建立 21 聲母與 iu/ui/ie 的拼讀組合。,,,pinyin_chart_l4_group_2,,,,,true,true,false,false,false,不含 üe；üe 另由 P14 規則與 P15 詞彙承接。
pinyin_lesson_04,P11,,11,pinyin_exercise,page_l4_11,拼音練習 2,,,,lesson_page,,第二組複韻母拼讀練習，含聲調。,,,pinyin_chart_l4_group_2,,,,,true,true,false,true,false,
pinyin_lesson_04,P12,,12,vocabulary_set,vocab_set_l4_02,詞彙 2,,,,lesson_page,,六、牛、九、球、對、睡、貴、姐姐、寫、謝謝。,,vocab_set_l4_02,,,,,,true,true,false,,false,
pinyin_lesson_04,P13,,13,vocab_exercise,page_l4_13,詞彙練習 2,,,,lesson_page,,詞彙 2 的發音與字義練習。,,vocab_set_l4_02,,,,,,true,true,false,,false,
pinyin_lesson_04,P14,,14,spelling_rule,rule_l4_jqx_ue_umlaut,規則：üe 的變化,,,,lesson_page,,學習 j/q/x + üe 時，拼寫為 jue/que/xue。,,,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,P15,,15,vocabulary_set,vocab_set_l4_03,詞彙 3,,,,lesson_page,,覺得、缺、學。,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,P16,,16,vocab_exercise,page_l4_16,詞彙練習 3,,,,lesson_page,,詞彙 3 的發音與字義練習。,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,,P17-P18|P17-P19,17,review_exercise,page_l4_17,課後練習,,,,lesson_page,,2-3 個題型整合複習。,,,,,,,,true,true,false,,true,
pinyin_lesson_04,P3,,90,warmup_activity,warmup_review_pinyin_lesson_03,暖身活動：複習前一課生詞,,,,warmup_activity,,複習前一課的生詞,,,,,,,,true,true,false,,,暖身活動放在學習目標之後，用前一課生詞作為複習材料。
pinyin_lesson_04,P3,,91,warmup_activity_option,warmup_review_pinyin_lesson_03_option_1,連連看,,,,matching,,學生看照片，連到對應的拼音與漢字。,,,,,,,,true,true,false,,,
pinyin_lesson_04,P3,,92,warmup_activity_option,warmup_review_pinyin_lesson_03_option_2,聽音猜意 flash card,,,,audio_flashcard,,正面播放生詞音檔，學生猜意思；反面顯示漢字、拼音與圖片。,,,,,,,,true,true,false,,,
pinyin_lesson_04,P4,,101,final,final_ai,韻母 ai,,,ai,final,compound_final_group_1,韻母 ai。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,102,final,final_ao,韻母 ao,,,ao,final,compound_final_group_1,韻母 ao。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,103,final,final_ou,韻母 ou,,,ou,final,compound_final_group_1,韻母 ou。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,104,final,final_ei,韻母 ei,,,ei,final,compound_final_group_1,韻母 ei。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,105,final,final_er,韻母 er,,,er,final,compound_final_group_1,韻母 er。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P9,,106,final,final_iu,韻母 iu,,,iu,final,compound_final_group_2,韻母 iu。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_04,P9,,107,final,final_ui,韻母 ui,,,ui,final,compound_final_group_2,韻母 ui。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_04,P9,,108,final,final_ie,韻母 ie,,,ie,final,compound_final_group_2,韻母 ie。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
