lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_03,P1,,1,lesson_cover,page_l3_01,封面,,,,lesson_page,,第三课课程封面。,,,,,,,,true,true,false,,false,
pinyin_lesson_03,P2,,2,learning_objective,page_l3_02,学习目标,,,,lesson_page,,说明本课要学 zh/ch/sh/r、z/c/s、含声调拼读、词汇发音与字义、一不变调。,,,,,,,,true,true,false,,false,
pinyin_lesson_03,P3,,3,warmup_activity,page_l3_03,暖身活动：复习第二课生词,,,,lesson_page,,复习第二课生词；活动可用连连看或听音猜意 flash card。,,,,,,,,true,true,false,,false,
pinyin_lesson_03,P4,,4,pinyin_learning_cover,page_l3_04,拼音学习封面 1：zh ch sh r,,,,lesson_page,,进入翘舌音声母学习段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_03,P5,,5,pinyin_chart,pinyin_chart_l3_group_1,拼音学习表格 1：zh ch sh r + a o e i u ü,,,,lesson_page,,建立 zh/ch/sh/r 与韵母拼读组合。,,,pinyin_chart_l3_group_1,,,,,true,true,false,false,false,
pinyin_lesson_03,P6,,6,pinyin_exercise,page_l3_06,拼音练习 1,,,,lesson_page,,第一组声母拼读练习，含声调。,,,pinyin_chart_l3_group_1,,,,,true,true,false,true,false,
pinyin_lesson_03,P7,,7,vocabulary_set,vocab_set_l3_01,词汇 1,,,,lesson_page,,炸鸡、茶、车、热、吃、十、猪、书。,,vocab_set_l3_01,,,,,,true,true,false,,false,
pinyin_lesson_03,P8,,8,vocab_exercise,page_l3_08,词汇练习 1,,,,lesson_page,,词汇 1 的发音与字义练习。,,vocab_set_l3_01,,,,,,true,true,false,,false,
pinyin_lesson_03,P9,,9,pinyin_learning_cover,page_l3_09,拼音学习封面 2：z c s,,,,lesson_page,,进入平舌音声母学习段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_03,P10,,10,pinyin_chart,pinyin_chart_l3_group_2,拼音学习表格 2：z c s + a o e i u ü,,,,lesson_page,,建立 z/c/s 与韵母拼读组合。,,,pinyin_chart_l3_group_2,,,,,true,true,false,false,false,
