module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa: 第八课 · 苹果一斤多少钱
2,objectives,Mục tiêu bài học,学习目标,,planned,,"18 từ vựng, 1 hội thoại, 3 ngữ pháp"
3,warmup,Khởi động,暖身活动,,planned,,"Chiếu hình trái cây, hỏi giá"
4,vocabulary,Từ vựng,生词,64,extracted,,18 từ vựng. Counter: XX/18.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz: 01-09/18 và 10-18/18
7,grammar,Ngữ pháp,语法,65,extracted,,"3 ngữ pháp: 多少vs几, 太...了, 吧"
8,comprehensive_practice,Luyện tập tổng hợp,综合练习,,planned,,"Luyện mua bán, trả giá, tính tiền"
9,text,Bài đọc,课文,63,extracted,,1 hội thoại mua trái cây
10,stroke_writing,Tập viết chữ Hán,写汉字,69,planned,,Tập viết: 买、果、贵、还、卖、共、给、找
11,culture_supplement,Văn hóa bổ sung,文化补充,,planned,,"Văn hóa mua bán TQ: trả giá, đơn vị tiền, thanh toán di động"
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,67,planned,,"Hoàn thành hội thoại mua bán, tập viết chữ Hán"
