lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,source_pdf_page,source_pdf_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,1,买,mǎi,mua,to buy,động từ,动,mãi,nǐ mǎi shénme?,你买什么？,Bạn mua gì?,买 (动) mǎi (mãi) to buy mua,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,2,水果,shuǐguǒ,"trái cây, hoa quả",fruit,danh từ,名,thủy quả,wǒ mǎi shuǐguǒ.,我买水果。,Tôi mua trái cây.,"水果 (名) shuǐguǒ (thủy quả) fruit trái cây, hoa quả",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,3,苹果,píngguǒ,táo,apple,danh từ,名,tần quả,píngguǒ yì jīn duōshao qián?,苹果一斤多少钱？,Táo một cân bao nhiêu tiền?,苹果 (名) píngguǒ (tần quả) apple táo,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,4,斤,jīn,cân (500g),jin (unit of weight),lượng từ,量,cân,nǐ yào jǐ jīn?,你要几斤？,Bạn muốn mấy cân?,斤 (量) jīn (cân) jin (unit of weight) cân (500g),student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,65,65,83,83,5,多少,duōshao,bao nhiêu,how much/many,đại từ,代,đa thiểu,yígòng duōshao qián?,一共多少钱？,Tất cả bao nhiêu tiền?,多少 (代) duōshao (đa thiểu) how much/many bao nhiêu,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,65,65,83,83,6,块,kuài,đồng (đơn vị tiền TQ),kuai/yuan,lượng từ,量,khối,píngguǒ sān kuài yì jīn.,苹果三块一斤。,Táo ba đồng một cân.,块 (量) kuài (khối) kuai/yuan đồng (đơn vị tiền TQ),student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,7,贵,guì,đắt,expensive,tính từ,形,quý,tài guì le!,太贵了！,Đắt quá!,贵 (形) guì (quý) expensive đắt,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,8,了,le,rồi (trợ từ ngữ khí),(modal particle),trợ từ,助,liễu,tài guì le.,太贵了。,Đắt quá rồi.,了 (助) le (liễu) (modal particle) rồi (trợ từ ngữ khí),student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,64,64,82,82,9,吧,ba,"đi, nhé (trợ từ gợi ý)",(suggestion particle),trợ từ,助,ba,liǎng kuài wǔ ba.,两块五吧。,Hai đồng năm nhé.,"吧 (助) ba (ba) (suggestion particle) đi, nhé (trợ từ gợi ý)",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-08,第八课 · 苹果一斤多少钱 · Bài 8 · Một cân táo bao nhiêu tiền,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,65,65,83,83,10,还,hái,"còn, vẫn còn",still; also,phó từ,副,hoàn,hái yào biéde ma?,还要别的吗？,Còn muốn gì khác không?,"还 (副) hái (hoàn) still; also còn, vẫn còn",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
