module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第五课 · 这是王老师
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 17 từ vựng mới, 1 hội thoại, phát âm zh/ch/sh/r + vần kép u, văn hóa đãi khách"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: giới thiệu bạn bè/thầy cô, ôn lại 你好/您好, dẫn vào chủ đề giới thiệu và đãi khách"
4,vocabulary,Từ vựng,生词,38,extracted,,17 từ vựng chính + tên riêng 王. Counter format: XX/17.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-09/17 và 10-17/17
7,comprehensive_practice_divider,Luyện tập tổng hợp,综合练习,,planned,,Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent)
8,vocabulary_practice,Luyện từ vựng tổng hợp,综合词汇练习,,planned,,Flashcard + ghép nối từ vựng + luyện 请+动词 + luyện giới thiệu 这是...
9,text,Bài đọc,课文,37,extracted,,1 hội thoại: 这是王老师 (giới thiệu + đãi khách)
10,stroke_writing,Tập viết chữ Hán,写汉字,44,extracted,,Tập viết chữ Hán từ bài 5: 这、是、老、师、您、请、进、坐、喝、茶、谢、工、作、忙
11,culture_supplement,Văn hóa bổ sung,文化补充,,planned,,Văn hóa đãi khách Trung Quốc: 请进请坐请喝茶. Ý nghĩa văn hóa trà và phép lịch sự.
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,41,planned,,"Bài tập: luyện phát âm zh/ch/sh/r, vần kép, nhận mặt chữ, tập viết, hoàn thành hội thoại"
