lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_02,P1,,1,lesson_cover,page_l2_01,封面,,,,lesson_page,,第二课课程封面。,,,,,,,,true,true,false,,false,
pinyin_lesson_02,P2,,2,learning_objective,page_l2_02,学习目标,,,,lesson_page,,说明本课要学 d/t/n/l/g/k/h、j/q/x、含声调拼读、词汇发音与字义。,,,,,,,,true,true,false,,false,
pinyin_lesson_02,P3,,3,warmup_activity,page_l2_03,暖身活动：复习第一课生词,,,,lesson_page,,复习第一课生词；活动可用连连看或听音猜意 flash card。,,,,,,,,true,true,false,,false,
pinyin_lesson_02,P4,,4,pinyin_learning_cover,page_l2_04,拼音学习封面 1：d t n l g k h,,,,lesson_page,,进入第一组声母学习段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_02,P5,,5,pinyin_chart,pinyin_chart_l2_group_1,拼音学习表格 1：d t n l g k h + a o e i u ü,,,,lesson_page,,建立第一组声母与韵母拼读组合。,,,pinyin_chart_l2_group_1,,,,,true,true,false,false,false,
pinyin_lesson_02,P6,,6,pinyin_exercise,page_l2_06,拼音练习 1,,,,lesson_page,,第一组声母拼读练习，含声调。,,,pinyin_chart_l2_group_1,,,,,true,true,false,true,false,
pinyin_lesson_02,P7,,7,vocabulary_set,vocab_set_l2_01,词汇 1,,,,lesson_page,,大、拿、女、绿、地图、喝、可乐、哥哥。,,vocab_set_l2_01,,,,,,true,true,false,,false,
pinyin_lesson_02,P8,,8,vocab_exercise,page_l2_08,词汇练习 1,,,,lesson_page,,词汇 1 的发音与字义练习。,,vocab_set_l2_01,,,,,,true,true,false,,false,
pinyin_lesson_02,P9,,9,pinyin_learning_cover,page_l2_09,拼音学习封面 2：j q x,,,,lesson_page,,进入第二组声母学习段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_02,P10,,10,pinyin_chart,pinyin_chart_l2_group_2,拼音学习表格 2：j q x + a o e i u ü,,,,lesson_page,,建立 j/q/x 与韵母拼读组合。,,,pinyin_chart_l2_group_2,,rule_l2_jqx_u_umlaut,,,true,true,false,false,false,
pinyin_lesson_02,P11,,11,pinyin_exercise,page_l2_11,拼音练习 2,,,,lesson_page,,第二组声母拼读练习，含声调。,,,pinyin_chart_l2_group_2,,,,,true,true,false,true,false,
pinyin_lesson_02,P12,,12,vocabulary_set,vocab_set_l2_02,词汇 2,,,,lesson_page,,鸡、几、七、洗、西、骑马。,,vocab_set_l2_02,,,,,,true,true,false,,false,
pinyin_lesson_02,P13,,13,vocab_exercise,page_l2_13,词汇练习 2,,,,lesson_page,,词汇 2 的发音与字义练习。,,vocab_set_l2_02,,,,,,true,true,false,,false,
pinyin_lesson_02,P14,,14,spelling_rule,rule_l2_jqx_u_umlaut,"规则：jü→ju, qü→qu, xü→xu",,,,lesson_page,,学习 j/q/x 后接 ü 时，拼写上省略两点。,,,,,rule_l2_jqx_u_umlaut,,,true,true,false,,false,
pinyin_lesson_02,P15,,15,vocabulary_set,vocab_set_l2_03,词汇 3,,,,lesson_page,,去、橘、机器、继续。,,vocab_set_l2_03,,,rule_l2_jqx_u_umlaut,,,true,true,false,,false,
pinyin_lesson_02,P16,,16,vocab_exercise,page_l2_16,词汇练习 3,,,,lesson_page,,词汇 3 的发音与字义练习。,,vocab_set_l2_03,,,rule_l2_jqx_u_umlaut,,,true,true,false,,false,
pinyin_lesson_02,,P17-P18|P17-P19,17,review_exercise,page_l2_17,课后练习,,,,lesson_page,,2-3 个题型整合复习。,,,,,,,,true,true,false,,true,
pinyin_lesson_02,P3,,90,warmup_activity,warmup_review_pinyin_lesson_01,暖身活动：复习前一课生词,,,,warmup_activity,,复习前一课的生词,,,,,,,,true,true,false,,,暖身活动放在学习目标之后，用前一课生词作为复习材料。
pinyin_lesson_02,P3,,91,warmup_activity_option,warmup_review_pinyin_lesson_01_option_1,连连看,,,,matching,,学生看照片，连到对应的拼音与汉字。,,,,,,,,true,true,false,,,
pinyin_lesson_02,P3,,92,warmup_activity_option,warmup_review_pinyin_lesson_01_option_2,听音猜意 flash card,,,,audio_flashcard,,正面播放生词音档，学生猜意思；反面显示汉字、拼音与图片。,,,,,,,,true,true,false,,,
pinyin_lesson_02,P4,,101,initial,initial_d,声母 d,,,d,final,,声母 d。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,102,initial,initial_t,声母 t,,,t,final,,声母 t。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,103,initial,initial_n,声母 n,,,n,final,,声母 n。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,104,initial,initial_l,声母 l,,,l,final,,声母 l。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,105,initial,initial_g,声母 g,,,g,final,,声母 g。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,106,initial,initial_k,声母 k,,,k,final,,声母 k。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P4,,107,initial,initial_h,声母 h,,,h,final,,声母 h。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_02,P9,,108,initial,initial_j,声母 j,,,j,final,,声母 j。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_02,P9,,109,initial,initial_q,声母 q,,,q,final,,声母 q。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_02,P9,,110,initial,initial_x,声母 x,,,x,final,,声母 x。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_02,P5,,111,pinyin_chart,pinyin_chart_l2_group_1,d t n l g k h + a o e i u ü,,,,pinyin_chart,,initials=d|t|n|l|g|k|h; finals=a|o|e|i|u|ü,,,,,,,,true,false,false,false,,
pinyin_lesson_02,P10,,112,pinyin_chart,pinyin_chart_l2_group_2,j q x + a o e i u ü,,,,pinyin_chart,,initials=j|q|x; finals=a|o|e|i|u|ü,,,,,rule_l2_jqx_u_umlaut,,,true,false,false,false,,
pinyin_lesson_02,P14,,113,spelling_rule,rule_l2_jqx_u_umlaut,j/q/x + ü 拼写省略规则,,,,spelling_rule,,j/q/x 后接 ü 时，拼写省略 ü 上两点，但发音仍是 ü。,,,,,rule_l2_jqx_u_umlaut,,,true,false,false,,,
pinyin_lesson_02,P14,,114,spelling_rule_mapping,rule_l2_jqx_u_umlaut_jü_to_ju,jü→ju,,,ju,spelling_rule_mapping,,jü is written as ju.,,,,,rule_l2_jqx_u_umlaut,,,true,false,false,,,
pinyin_lesson_02,P14,,115,spelling_rule_mapping,rule_l2_jqx_u_umlaut_qü_to_qu,qü→qu,,,qu,spelling_rule_mapping,,qü is written as qu.,,,,,rule_l2_jqx_u_umlaut,,,true,false,false,,,
pinyin_lesson_02,P14,,116,spelling_rule_mapping,rule_l2_jqx_u_umlaut_xü_to_xu,xü→xu,,,xu,spelling_rule_mapping,,xü is written as xu.,,,,,rule_l2_jqx_u_umlaut,,,true,false,false,,,
pinyin_lesson_02,P7,,117,vocabulary,vocab_l2_001_da,大,大,dà,,vocab_set_l2_01,,,,vocab_set_l2_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_02,P7,,118,vocabulary,vocab_l2_002_na,拿,拿,ná,,vocab_set_l2_01,,,,vocab_set_l2_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
