lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_05,P1,,1,lesson_cover,page_l5_01,封面,,,,lesson_page,,第五课课程封面。,,,,,,,,true,true,false,,false,
pinyin_lesson_05,P2,,2,learning_objective,page_l5_02,学习目标,,,,lesson_page,,说明本课要学 an/en/in/uen(un)/ün、ang/eng/ing/ong、含声调拼读、词汇发音与字义、ün 拼写变化。,,,,,,,,true,true,false,,false,
pinyin_lesson_05,P3,,3,warmup_activity,page_l5_03,暖身活动：复习第四课生词,,,,lesson_page,,复习第四课生词；活动可用连连看或听音猜意 flash card。,,,,,,,,true,true,false,,false,
pinyin_lesson_05,P4,,4,pinyin_learning_cover,page_l5_04,拼音学习封面 1：an en in uen(un) ün,,,,lesson_page,,进入第一组前鼻韵母学习段落。,,,,,,,,true,true,false,,false,封面包含 ün；P5 表格只列 an/en/in/uen(un)，ün 于 P9 规则处理。
pinyin_lesson_05,P5,,5,pinyin_chart,pinyin_chart_l5_group_1,拼音学习表格 1：全部声母 + an en in uen(un),,,,lesson_page,,建立 21 声母与 an/en/in/uen(un) 的拼读组合。,,,pinyin_chart_l5_group_1,,,,,true,true,false,false,false,不含 ün；ün 另由 P9 规则与 P10 词汇承接。
pinyin_lesson_05,P6,,6,pinyin_exercise,page_l5_06,拼音练习 1,,,,lesson_page,,第一组前鼻韵母拼读练习，含声调。,,,pinyin_chart_l5_group_1,,,,,true,true,false,true,false,
pinyin_lesson_05,P7,,7,vocabulary_set,vocab_set_l5_01,词汇 1,,,,lesson_page,,米饭、男、鸡蛋、门、人、新、春、困。,,vocab_set_l5_01,,,,,,true,true,false,,false,困附注 sleepy。
pinyin_lesson_05,P8,,8,vocab_exercise,page_l5_08,词汇练习 1,,,,lesson_page,,词汇 1 的发音与字义练习。,,vocab_set_l5_01,,,,,,true,true,false,,false,
pinyin_lesson_05,P9,,9,spelling_rule,rule_l5_jqx_un_umlaut,规则：ün 的变化,,,,lesson_page,,学习 j/q/x + ün 时，拼写为 jun/qun/xun。,,,,,rule_l5_jqx_un_umlaut,,,true,true,false,,false,
pinyin_lesson_05,P10,,10,vocabulary_set,vocab_set_l5_02,词汇 2,,,,lesson_page,,军人、裙子、培训。,,vocab_set_l5_02,,,rule_l5_jqx_un_umlaut,,,true,true,false,,false,
