slide_no,deck,source_refs,source_pages,qa_role
5,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
6,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
7,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
8,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
9,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
10,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary-practice
11,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
12,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
13,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
14,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
15,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
16,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary-practice
17,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
18,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
19,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
20,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
21,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
22,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary-practice
23,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
24,online,00-source/canonical-source.json#sections.vocabulary,68,vocabulary
25,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
26,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
27,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
28,online,00-source/canonical-source.json#sections.vocabulary,68、69,vocabulary-practice
29,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
30,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
31,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
32,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
33,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
34,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary-practice
35,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
36,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
37,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
38,online,00-source/canonical-source.json#sections.vocabulary,69,vocabulary
40,online,00-source/canonical-source.json#sections.vocabulary,69,proper-noun
41,online,00-source/canonical-source.json#sections.vocabulary,69,proper-noun
44,online,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-summary
45,online,00-source/canonical-source.json#sections.short_text_1,72,short-text-record
47,online,00-source/canonical-source.json#sections.common_expressions,72,expression
48,online,00-source/canonical-source.json#sections.common_expressions,72,expression
49,online,00-source/canonical-source.json#sections.common_expressions,72,expression
50,online,00-source/canonical-source.json#sections.common_expressions,72,expression
51,online,00-source/canonical-source.json#sections.common_expressions,72,expression
52,online,00-source/canonical-source.json#sections.common_expressions,72,expression
54,online,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-summary
55,online,00-source/canonical-source.json#sections.short_text_2,73,short-text-record
57,online,00-source/canonical-source.json#sections.common_expressions,73,expression
58,online,00-source/canonical-source.json#sections.common_expressions,73,expression
59,online,00-source/canonical-source.json#sections.common_expressions,73,expression
60,online,00-source/canonical-source.json#sections.common_expressions,73,expression
61,online,00-source/canonical-source.json#sections.common_expressions,73,expression
62,online,00-source/canonical-source.json#sections.common_expressions,73,expression
64,online,00-source/canonical-source.json#sections.short_text_3,74,short-text-summary
65,online,00-source/canonical-source.json#sections.short_text_3,74,short-text-record
67,online,00-source/canonical-source.json#sections.common_expressions,74,expression
68,online,00-source/canonical-source.json#sections.common_expressions,74,expression
69,online,00-source/canonical-source.json#sections.common_expressions,74,expression
70,online,00-source/canonical-source.json#sections.common_expressions,74,expression
71,online,00-source/canonical-source.json#sections.common_expressions,74,expression
72,online,00-source/canonical-source.json#sections.common_expressions,74,expression
73,online,00-source/canonical-source.json#sections.short_text_3,74,personal-preparation
75,online,00-source/canonical-source.json#sections.comprehensive_practice,75,comprehensive-table
76,online,00-source/canonical-source.json#sections.comprehensive_practice,76,personal-preparation
