slide_no,deck,source_refs,source_pages,qa_role
planned,online,canonical-source.json#sections.vocabulary.entries+proper_nouns,68-69,vocabulary
planned,online,canonical-source.json#sections.vocabulary_comprehension,70,vocabulary-comprehension
planned,online,canonical-source.json#sections.listening_sentences,70,listening-sentences
planned,online,canonical-source.json#sections.short_text_1,71-72,short-text-1
planned,online,canonical-source.json#sections.short_text_2,72-73,short-text-2
planned,online,canonical-source.json#sections.short_text_3,74,short-text-3
planned,online,canonical-source.json#sections.common_expressions.groups,72-74,expressions
planned,online,canonical-source.json#sections.comprehensive_practice,75-76,comprehensive
planned,face-to-face,canonical-source.json#sections.vocabulary_comprehension,70,warmup
planned,face-to-face,canonical-source.json#sections.listening_sentences,70,first-three-listening
planned,face-to-face,canonical-source.json#sections.short_text_1,71-72,short-text-1
planned,face-to-face,canonical-source.json#sections.short_text_2,72-73,short-text-2
planned,face-to-face,canonical-source.json#sections.short_text_3,74,short-text-3
planned,face-to-face,canonical-source.json#sections.common_expressions.groups,72-74,expressions
planned,face-to-face,canonical-source.json#sections.comprehensive_practice,75-76,comprehensive
