slide_no,source_refs
1,
2,
3,
4,sections.vocabulary
5,sections.vocabulary
6,sections.vocabulary
7,sections.vocabulary
8,sections.vocabulary
9,sections.vocabulary
10,sections.vocabulary
11,sections.vocabulary
12,sections.vocabulary
13,sections.vocabulary
14,sections.vocabulary
15,sections.vocabulary
16,sections.vocabulary
17,sections.vocabulary
18,sections.vocabulary
19,sections.vocabulary
20,sections.vocabulary
21,sections.vocabulary
22,sections.vocabulary
23,sections.vocabulary
24,sections.vocabulary
25,sections.vocabulary
26,sections.vocabulary
27,sections.vocabulary
28,sections.vocabulary
29,sections.vocabulary
30,sections.vocabulary
31,sections.vocabulary
32,sections.vocabulary
33,sections.vocabulary
34,sections.vocabulary
35,sections.vocabulary
36,sections.vocabulary_comprehension
37,sections.vocabulary_comprehension
38,sections.vocabulary_comprehension
39,sections.vocabulary_comprehension
40,sections.listening_sentences
41,sections.listening_sentences
42,sections.listening_sentences
43,sections.listening_sentences
44,sections.listening_sentences
45,sections.listening_sentences
46,sections.short_text_1
47,sections.short_text_1
48,sections.short_text_1
49,sections.short_text_1
50,sections.short_text_1
51,sections.short_text_1
52,sections.short_text_2
53,sections.short_text_2
54,sections.short_text_2
55,sections.short_text_2
56,sections.short_text_2
57,sections.short_text_3
58,sections.short_text_3
59,sections.short_text_3
60,sections.short_text_3
61,sections.short_text_3
62,sections.short_text_3
63,sections.short_text_3
64,sections.short_text_3
65,sections.short_text_3
66,sections.short_text_3
67,sections.short_text_3
68,sections.short_text_3
