lesson_id,record_id,record_type,chinese_simplified,pinyin,vietnamese,teacher_review_status,generated_at
lesson-14,T001,text,(dialogue),,,pending,2026-06-04T10:00:00+00:00
lesson-14,V001,vocabulary,车,chē,xe,pending,2026-06-04T10:00:00+00:00
lesson-14,V002,vocabulary,还是,háishi,hay,pending,2026-06-04T10:00:00+00:00
lesson-14,V003,vocabulary,辆,liàng,chiếc xe,pending,2026-06-04T10:00:00+00:00
lesson-14,V004,vocabulary,自行车,zìxíngchē,xe đạp,pending,2026-06-04T10:00:00+00:00
lesson-14,V005,vocabulary,小,xiǎo,nhỏ,pending,2026-06-04T10:00:00+00:00
lesson-14,V006,vocabulary,漂亮,piàoliang,đẹp,pending,2026-06-04T10:00:00+00:00
lesson-14,V007,vocabulary,颜色,yánsè,màu sắc,pending,2026-06-04T10:00:00+00:00
lesson-14,V008,vocabulary,蓝,lán,xanh dương,pending,2026-06-04T10:00:00+00:00
lesson-14,V009,vocabulary,绿,lǜ,xanh lá,pending,2026-06-04T10:00:00+00:00
lesson-14,V010,vocabulary,黄,huáng,vàng,pending,2026-06-04T10:00:00+00:00
lesson-14,V011,vocabulary,多大,duōdà,mấy tuổi,pending,2026-06-04T10:00:00+00:00
lesson-14,V012,vocabulary,岁,suì,tuổi,pending,2026-06-04T10:00:00+00:00
lesson-14,G001,grammar,还是 Q,,Câu hỏi chọn lựa,pending,2026-06-04T10:00:00+00:00
lesson-14,G002,grammar,多+Adj,,Hỏi với 多,pending,2026-06-04T10:00:00+00:00
lesson-14,G003,grammar,了 change,,了 thay đổi,pending,2026-06-04T10:00:00+00:00
