module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第九课 · 我换人民币
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 14 từ vựng mới (ngân hàng, đổi tiền, thời gian), 1 hội thoại, 2 ngữ pháp (连动句, số 100+)"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: chiếu hình các loại tiền tệ (nhân dân tệ, đô la, yên, euro). Hỏi sinh viên về tiền tệ."
4,vocabulary,Từ vựng,生词,71,extracted,,14 từ vựng chính. Counter format: XX/14.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-07/14 và 08-14/14
7,grammar,Ngữ pháp,语法,72,extracted,,"2 điểm ngữ pháp: 连动句 (câu liên động), 数字100以上 (số 100 trở lên)"
8,comprehensive_practice,Luyện tập tổng hợp,综合练习,,planned,,"Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent) + luyện đổi tiền, đọc số lớn, câu liên động"
9,text,Bài đọc,课文,70,extracted,,1 hội thoại: 我换人民币 (đổi tiền ở ngân hàng)
10,stroke_writing,Tập viết chữ Hán,写汉字,75,planned,,Tập viết chữ Hán từ bài 9: 午、书、馆、换、元、百、等、先、生、数
11,culture_supplement,Văn hóa bổ sung,文化补充,,planned,,"Hệ thống tiền tệ Trung Quốc: nhân dân tệ, cách gọi tắt (块/毛/分), thanh toán di động. So sánh với tiền Việt Nam."
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,73,planned,,"Bài tập: đọc số lớn, hoàn thành hội thoại đổi tiền, tập viết chữ Hán"
