lesson_key,candidate_page_id,source_section,source_ref,printed_pages,audio,student_action,existing_assets,missing_assets,online_candidate,face_candidate,adam_boundary_status,blocker
boya-quasi-intermediate-i:lesson-02,L02-P01,vocabulary,canonical-source.json#sections.vocabulary,P12-P13,2-1,"看词语、拼音和图片；听后跟读29项","L02-V01-L02-V29",none,"词语预习", "课堂任务中调用/短修补",pending,"来源仍待Adam批准；音频2-1语义听核待完成"
boya-quasi-intermediate-i:lesson-02,L02-P02,vocabulary_comprehension,canonical-source.json#sections.vocabulary_comprehension,P13-P14,2-2,"听第一遍从图片选择并标序号；听第二遍跟读","L02-V01,V02,V03,V04,V05,L02-E02-2-STUDY-A,B,C,L02-E02-2-LIFE-A,B,C",none,"预习初做+课堂核对", "课堂核对与重做",pending,"图片复用映射仍需视觉复核；音频语义听核待完成"
boya-quasi-intermediate-i:lesson-02,L02-P03,listening_sentences,canonical-source.json#sections.listening_sentences.exercise_2_3,P14-P15,2-3,"听句子并判断对错；记录关键词","none",none,"不作为预习必做", "听力证据核对",pending,"闭合答案已核对；音频语义听核待完成"
boya-quasi-intermediate-i:lesson-02,L02-P04,listening_dialogue,canonical-source.json#sections.listening_dialogue,P15,2-4,"听小对话并选择正确答案（1-5）","none",none,"可选预听", "听后选择并同伴确认",pending,"音频语义听核待完成"
boya-quasi-intermediate-i:lesson-02,L02-P05,short_text_1,canonical-source.json#sections.short_text_1,P15-P16,2-5,"听短文、回答问题并说出6-8句介绍","L02-CONTEXT-CLASSROOM",none,"阅读/听力预习", "互问、发表、重做",pending,"开放题无唯一答案；正式课时待确认"
boya-quasi-intermediate-i:lesson-02,L02-P06,common_expressions_school_life,canonical-source.json#sections.common_expressions_school_life,P16-P17,none,"理解教材例句并准备个人学校生活表达","L02-V07,V08,V09,V10,V11,V14,V18,V19,V20,V21,V22",none,"表达预览", "任务中使用",pending,"不得脱离教材例句新增答案"
boya-quasi-intermediate-i:lesson-02,L02-P07,short_text_2,canonical-source.json#sections.short_text_2,P17-P18,2-6,"听生日午餐、回答问题并完成先说-补充-总结","L02-CONTEXT-BIRTHDAY-MEAL,L02-E02-2-LIFE-A,B,C",none,"阅读/听力预习", "同伴问答与小组总结",pending,"音频语义听核待完成；正式课时待确认"
boya-quasi-intermediate-i:lesson-02,L02-P08,common_expressions_extra_curricular,canonical-source.json#sections.common_expressions_extra_curricular,P18-P20,none,"理解课外生活常用表达并准备个人句子","L02-V02,V03,V04,V05,V12,V13,V15,V16,V17,V23,V24,V25,V26,V27,V28,V29",none,"表达预览", "口语任务中使用",pending,"开放表达无唯一答案"
boya-quasi-intermediate-i:lesson-02,L02-P09,short_text_3,canonical-source.json#sections.short_text_3,P18-P19,2-7,"听课外活动、回答问题并完成小组总结","L02-CONTEXT-MUSEUM-VOLUNTEER",none,"阅读/听力预习", "听力证据与小组总结",pending,"2-7为用户恢复音频；语义已由Adam确认，仍需纳入来源批准"
boya-quasi-intermediate-i:lesson-02,L02-P10,comprehensive_practice,canonical-source.json#sections.comprehensive_practice,P20-P21,2-5/2-6/2-7,"填王红一天安排表；总结三主题；迁移到个人经历","L02-CONTEXT-CLASSROOM,L02-CONTEXT-BIRTHDAY-MEAL,L02-CONTEXT-MUSEUM-VOLUNTEER",none,"预填关键词", "小组发表与个人拓展",pending,"教师核对表格不设唯一答案；正式课时待确认"
