record_id,source_page,source_pdf_page,source_page_range,source_pdf_page_range,section,record_type,title_vi,title_zh,chinese_simplified,pinyin,vietnamese,english,raw_source_text,teaching_order,classroom_visibility
T001,56,74,56-57,74-75,Bài đọc,text,Bạn ăn gì,你吃什么,"（在教室）
麦克：中午你去哪儿吃饭？
玛丽：我去食堂。
（在食堂）
麦克：你吃什么？
玛丽：我吃馒头。
麦克：你要几个？
玛丽：一个。你吃吗？
麦克：不吃，我吃米饭。你喝什么？
玛丽：我要一碗鸡蛋汤。你喝吗？
麦克：不喝，我喝啤酒。
玛丽：这些是什么？
麦克：这是饺子，这是包子，那是面条。","(zài jiàoshì)
Màikè: zhōngwǔ nǐ qù nǎr chīfàn?
Mǎlì: wǒ qù shítáng.
(zài shítáng)
Màikè: nǐ chī shénme?
Mǎlì: wǒ chī mántou.
Màikè: nǐ yào jǐ ge?
Mǎlì: yí ge. nǐ chī ma?
Màikè: bù chī, wǒ chī mǐfàn. nǐ hē shénme?
Mǎlì: wǒ yào yì wǎn jīdàn tāng. nǐ hē ma?
Màikè: bù hē, wǒ hē píjiǔ.
Mǎlì: zhèxiē shì shénme?
Màikè: zhè shì jiǎozi, zhè shì bāozi, nà shì miàntiáo.","(Trong phòng học)
Mike: Buổi trưa bạn đi đâu ăn cơm?
Mali: Tôi đi nhà ăn.
(Trong nhà ăn)
Mike: Bạn ăn gì?
Mali: Tôi ăn bánh bao chay.
Mike: Bạn muốn mấy cái?
Mali: Một cái. Bạn ăn không?
Mike: Không ăn, tôi ăn cơm. Bạn uống gì?
Mali: Tôi muốn một bát canh trứng gà. Bạn uống không?
Mike: Không uống, tôi uống bia.
Mali: Những cái này là gì?
Mike: Đây là sủi cảo, đây là bánh bao, kia là mì sợi.","(In a classroom)
Mike: Where do you go for lunch at noon?
Mali: I go to the dining hall.
(In the dining hall)
Mike: What do you eat?
Mali: I eat steamed buns.
Mike: How many do you want?
Mali: One. Do you eat them?
Mike: No, I eat rice. What do you drink?
Mali: I want a bowl of egg soup. Do you drink it?
Mike: No, I drink beer.
Mali: What are these?
Mike: These are dumplings, these are stuffed buns, those are noodles.",课文 你吃什么: 中午你去哪儿吃饭？我去食堂。你吃什么？我吃馒头。你要几个？一个。你吃吗？不吃，我吃米饭。你喝什么？我要一碗鸡蛋汤。你喝吗？不喝，我喝啤酒。这些是什么？这是饺子，这是包子，那是面条。,17,student_visible
V001,57,75,57,75,Từ vựng,vocabulary,,,中午,zhōngwǔ,buổi trưa,noon; midday,中午 (名) zhōngwǔ (trung ngọ) noon buổi trưa,1,student_visible
V002,57,75,57,75,Từ vựng,vocabulary,,,吃,chī,ăn,to eat,吃 (动) chī (cật) to eat ăn,2,student_visible
V003,57,75,57,75,Từ vựng,vocabulary,,,饭,fàn,"cơm, bữa cơm",meal; cooked rice,"饭 (名) fàn (phạn) meal; rice cơm, bữa cơm",3,student_visible
V004,57,75,57,75,Từ vựng,vocabulary,,,食堂,shítáng,nhà ăn,dining hall; canteen,食堂 (名) shítáng (thực đường) dining hall nhà ăn,4,student_visible
V005,57,75,57,75,Từ vựng,vocabulary,,,馒头,mántou,bánh bao chay,steamed bun (without filling),馒头 (名) mántou (man đầu) mantou (steamed bun) bánh bao chay,5,student_visible
V006,57,75,57,75,Từ vựng,vocabulary,,,要,yào,"muốn, cần",to want; to need,"要 (动) yào (yếu) to want; to desire muốn, cần",6,student_visible
V007,57,75,57,75,Từ vựng,vocabulary,,,个,ge,"cái, chiếc (lượng từ chung)",(general measure word),个 (量) ge (cá) (a general classifier) cái (lượng từ),7,student_visible
V008,57,75,57,75,Từ vựng,vocabulary,,,米饭,mǐfàn,cơm (đã nấu),cooked rice,米饭 (名) mǐfàn (mễ phạn) steamed rice cơm,8,student_visible
V009,58,76,58,76,Từ vựng,vocabulary,,,碗,wǎn,"bát, tô (lượng từ)",bowl (measure word),"碗 (名/量) wǎn (oản) bowl bát, cái bát",9,student_visible
