lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,source_pdf_page,source_pdf_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,1,中午,zhōngwǔ,buổi trưa,noon; midday,danh từ,名,trung ngọ,zhōngwǔ nǐ qù nǎr chīfàn?,中午你去哪儿吃饭？,Buổi trưa bạn đi đâu ăn cơm?,中午 (名) zhōngwǔ (trung ngọ) noon buổi trưa,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,2,吃,chī,ăn,to eat,động từ,动,cật,nǐ chī shénme?,你吃什么？,Bạn ăn gì?,吃 (动) chī (cật) to eat ăn,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,3,饭,fàn,"cơm, bữa cơm",meal; cooked rice,danh từ,名,phạn,wǒ qù shítáng chīfàn.,我去食堂吃饭。,Tôi đi nhà ăn ăn cơm.,"饭 (名) fàn (phạn) meal; rice cơm, bữa cơm",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,4,食堂,shítáng,nhà ăn,dining hall; canteen,danh từ,名,thực đường,wǒ qù shítáng.,我去食堂。,Tôi đi nhà ăn.,食堂 (名) shítáng (thực đường) dining hall nhà ăn,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,5,馒头,mántou,bánh bao chay,steamed bun (without filling),danh từ,名,man đầu,wǒ chī mántou.,我吃馒头。,Tôi ăn bánh bao chay.,馒头 (名) mántou (man đầu) mantou (steamed bun) bánh bao chay,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,6,要,yào,"muốn, cần",to want; to need,động từ,动,yếu,nǐ yào jǐ ge?,你要几个？,Bạn muốn mấy cái?,"要 (动) yào (yếu) to want; to desire muốn, cần",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,7,个,ge,"cái, chiếc (lượng từ chung)",(general measure word),lượng từ,量,cá,wǒ yào yí ge mántou.,我要一个馒头。,Tôi muốn một cái bánh bao chay.,个 (量) ge (cá) (a general classifier) cái (lượng từ),student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,57,57,75,75,8,米饭,mǐfàn,cơm (đã nấu),cooked rice,danh từ,名,mễ phạn,wǒ chī mǐfàn.,我吃米饭。,Tôi ăn cơm.,米饭 (名) mǐfàn (mễ phạn) steamed rice cơm,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,58,58,76,76,9,碗,wǎn,"bát, tô (lượng từ)",bowl (measure word),danh từ/lượng từ,名/量,oản,wǒ yào yì wǎn jīdàn tāng.,我要一碗鸡蛋汤。,Tôi muốn một bát canh trứng gà.,"碗 (名/量) wǎn (oản) bowl bát, cái bát",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,58,58,76,76,10,鸡蛋,jīdàn,trứng gà,egg,danh từ,名,kê đản,jīdàn tāng hěn hǎochī.,鸡蛋汤很好吃。,Canh trứng gà rất ngon.,鸡蛋 (名) jīdàn (kê đản) egg trứng,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-07,第七课 · 你吃什么 · Bài 7 · Bạn ăn gì,V011,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,58,58,76,76,11,汤,tāng,"canh, súp",soup,danh từ,名,thang,nǐ hē shénme tāng?,你喝什么汤？,Bạn uống canh gì?,汤 (名) tāng (thang) soup canh,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
