module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第三课 · 明天见
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 15 từ vựng mới, 2 hội thoại, phát âm j/q/x, biến điệu 不"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: ôn lại cách chào hỏi, dẫn vào chủ đề hẹn gặp lại"
4,vocabulary,Từ vựng,生词,20,extracted,,15 từ vựng chính + tên riêng 北京. Counter format: XX/15.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-08/15 và 09-15/15
7,comprehensive_practice_divider,Luyện tập tổng hợp,综合练习,,planned,,Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent)
8,vocabulary_practice,Luyện từ vựng tổng hợp,综合词汇练习,,planned,,Flashcard + ghép nối từ vựng + luyện số 六七九 + luyện biến điệu 不
9,text,Bài đọc,课文,19,extracted,,2 hội thoại: (一) 学汉语 và (二) 去邮局
10,stroke_writing,Tập viết chữ Hán,写汉字,27,extracted,,Tập viết chữ Hán từ bài 3: 学、对、明、天、见、去、六、七、九 (tùy theo nội dung trang 27)
11,culture,Văn hóa bổ sung,文化补充,,planned,,"Văn hóa: Cách nói tạm biệt trong tiếng Trung (明天见, 再见, 拜拜), so sánh với tiếng Việt"
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,25,planned,,"Bài tập: luyện phát âm j/q/x, biến điệu 不, nhận mặt chữ, tập viết, hoàn thành hội thoại"
