module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第六课 · 我学习汉语
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 16 từ vựng mới, 1 hội thoại, 3 ngữ pháp (哪, 什么, S+V+O), văn hóa họ tên Trung Quốc"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: hỏi nhau tên, quốc tịch. Ôn lại 你好/请问. Dẫn vào chủ đề hỏi tên - quốc tịch - ngành học."
4,vocabulary,Từ vựng,生词,48,extracted,,"16 từ vựng chính + 2 tên riêng (张东, 麦克). Counter format: XX/16."
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-08/16 và 09-16/16
7,grammar,Ngữ pháp,语法,50,extracted,,"3 điểm ngữ pháp: đại từ nghi vấn 哪, đại từ nghi vấn 什么, câu có vị ngữ là động từ (S+V+O)"
8,comprehensive_practice,Luyện tập tổng hợp,综合练习,,planned,,"Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent) + luyện hỏi quốc tịch, ghép nối, hoàn thành câu"
9,text,Bài đọc,课文,46,extracted,,"1 hội thoại: 我学习汉语 (hỏi tên, quốc tịch, ngành học)"
10,stroke_writing,Tập viết chữ Hán,写汉字,55,extracted,,Tập viết chữ Hán từ bài 6: 请、问、姓、叫、名、字、哪、国、人、中、美、学
11,culture_supplement,Văn hóa bổ sung,文化补充,,planned,,"Họ tên người Trung Quốc: họ đứng trước, tên đứng sau. So sánh với cách đặt tên Việt Nam."
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,52,planned,,"Bài tập: trọng âm từ, hoàn thành hội thoại, bài tập thay thế, tự giới thiệu"
