lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,source_pdf_page,source_pdf_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,1,请问,qǐngwèn,xin hỏi,may I ask; excuse me,động từ,动,thỉnh vấn,"qǐngwèn, nǐ shì nǎ guó rén?",请问，你是哪国人？,"Xin hỏi, bạn là người nước nào?",请问 (动) qǐngwèn (thỉnh vấn) Excuse me xin hỏi,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,2,贵姓,guìxìng,quý họ (kính ngữ hỏi họ),your surname (polite),cụm từ,—,quý tính,"qǐngwèn, nǐ guìxìng?",请问，你贵姓？,"Xin hỏi, quý họ?",贵姓 guìxìng (quý tính) May I know your name? quý danh,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,3,姓,xìng,họ (mang họ),surname; to be surnamed,động từ/danh từ,动/名,tính,wǒ xìng Zhāng.,我姓张。,Tôi họ Trương.,姓 (动/名) xìng (tính) family name họ,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,4,他,tā,"anh ấy, ông ấy",he; him,đại từ,代,tha,tā shì Zhōngguó rén.,他是中国人。,Anh ấy là người Trung Quốc.,他 (代) tā (tha) he; him anh ấy,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,5,她,tā,"cô ấy, bà ấy",she; her,đại từ,代,tha,tā shì Měiguó rén.,她是美国人。,Cô ấy là người Mỹ.,她 (代) tā (tha) she; her cô ấy,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48,66,66,6,哪,nǎ,nào,which; what,đại từ,代,na,nǐ shì nǎ guó rén?,你是哪国人？,Bạn là người nước nào?,哪 (代) nǎ (na) which; where nào,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,48,48-49,66,66-67,7,国,guó,"nước, quốc gia",country; nation,danh từ,名,quốc,Zhōngguó shì yí ge dà guó.,中国是一个大国。,Trung Quốc là một nước lớn.,国 (名) guó (quốc) country; nationality quốc gia,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,49,49,67,67,8,人,rén,người,person; people,danh từ,名,nhân,tā shì Zhōngguó rén.,他是中国人。,Anh ấy là người Trung Quốc.,人 (名) rén (nhân) human being; man (or woman) người,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,49,49,67,67,9,中国,Zhōngguó,Trung Quốc,China,danh từ riêng,专名,Trung Quốc,wǒ shì Zhōngguó rén.,我是中国人。,Tôi là người Trung Quốc.,中国 (专名) Zhōngguó (Trung Quốc) China Trung Quốc,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
lesson-06,第六课 · 我学习汉语 · Bài 6 · Tôi học tiếng Hán,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,49,49,67,67,10,美国,Měiguó,nước Mỹ,the United States; USA,danh từ riêng,专名,Mỹ quốc,Màikè shì Měiguó rén.,麦克是美国人。,Mike là người Mỹ.,美国 (专名) Měiguó (Mỹ quốc) the United States nước Mỹ,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00
